IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
129.154.212.181,44699,true,NRT,Asia Pacific,Tokyo,70 ms,24620 kB/s
18.183.137.85,2083,true,NRT,Asia Pacific,Tokyo,65 ms,22489 kB/s
193.122.122.16,40377,true,NRT,Asia Pacific,Tokyo,75 ms,21773 kB/s
47.128.164.52,9999,true,SIN,Asia Pacific,Singapore,109 ms,20154 kB/s
132.145.83.155,33799,true,ICN,Asia Pacific,Seoul,84 ms,19004 kB/s
118.163.128.81,17333,true,KHH,Asia Pacific,Kaohsiung City,88 ms,15867 kB/s
154.197.121.248,8443,true,SJC,North America,San Jose,172 ms,12511 kB/s
8.217.250.5,2053,true,HKG,Asia Pacific,Hong Kong,58 ms,11761 kB/s
217.163.76.107,2053,true,SJC,North America,San Jose,165 ms,11495 kB/s
217.163.76.88,443,true,SJC,North America,San Jose,187 ms,11260 kB/s
146.56.177.67,61153,true,HKG,Asia Pacific,Hong Kong,77 ms,10166 kB/s
174.136.205.41,50008,true,SJC,North America,San Jose,178 ms,9934 kB/s
154.197.121.13,8443,true,SJC,North America,San Jose,170 ms,9816 kB/s
175.125.207.253,33060,true,ICN,Asia Pacific,Seoul,85 ms,9415 kB/s
8.222.145.110,2053,true,SIN,Asia Pacific,Singapore,215 ms,9284 kB/s
8.222.227.191,2096,true,SIN,Asia Pacific,Singapore,222 ms,9199 kB/s
8.222.134.170,2053,true,SIN,Asia Pacific,Singapore,226 ms,8966 kB/s
8.222.150.197,2083,true,SIN,Asia Pacific,Singapore,225 ms,8902 kB/s
47.236.83.239,2083,true,SIN,Asia Pacific,Singapore,225 ms,8870 kB/s
8.222.215.228,2083,true,SIN,Asia Pacific,Singapore,228 ms,8862 kB/s
8.222.137.178,2083,true,SIN,Asia Pacific,Singapore,238 ms,8810 kB/s
8.222.238.141,2053,true,SIN,Asia Pacific,Singapore,225 ms,8805 kB/s
8.222.182.10,2083,true,SIN,Asia Pacific,Singapore,219 ms,8795 kB/s
47.236.7.206,2087,true,SIN,Asia Pacific,Singapore,228 ms,8781 kB/s
8.222.229.22,2087,true,SIN,Asia Pacific,Singapore,225 ms,8776 kB/s
47.236.65.177,2087,true,SIN,Asia Pacific,Singapore,223 ms,8717 kB/s
217.163.76.89,2053,true,SJC,North America,San Jose,171 ms,8707 kB/s
8.222.160.61,2087,true,SIN,Asia Pacific,Singapore,228 ms,8660 kB/s
47.236.65.177,2096,true,SIN,Asia Pacific,Singapore,247 ms,8658 kB/s
8.222.150.197,2053,true,SIN,Asia Pacific,Singapore,218 ms,8654 kB/s
8.222.136.196,2087,true,SIN,Asia Pacific,Singapore,225 ms,8635 kB/s
8.222.160.61,2096,true,SIN,Asia Pacific,Singapore,235 ms,8606 kB/s
47.236.10.100,2053,true,SIN,Asia Pacific,Singapore,226 ms,8603 kB/s
47.236.114.167,2096,true,SIN,Asia Pacific,Singapore,233 ms,8585 kB/s
47.236.15.73,2083,true,SIN,Asia Pacific,Singapore,221 ms,8581 kB/s
47.236.103.153,2053,true,SIN,Asia Pacific,Singapore,214 ms,8510 kB/s
8.222.248.188,2096,true,SIN,Asia Pacific,Singapore,221 ms,8486 kB/s
8.222.168.24,2087,true,SIN,Asia Pacific,Singapore,219 ms,8473 kB/s
47.236.161.155,2053,true,SIN,Asia Pacific,Singapore,226 ms,8420 kB/s
8.222.154.50,2053,true,SIN,Asia Pacific,Singapore,219 ms,8419 kB/s
47.236.148.174,2083,true,SIN,Asia Pacific,Singapore,220 ms,8416 kB/s
8.222.227.191,2083,true,SIN,Asia Pacific,Singapore,231 ms,8406 kB/s
